area_id,source,calendar_quarter,sex,age_group,population,area_name,asfr,county
KEN_2_01,KNBS Census 2019,CY2011Q2,male,Y020_024,63189,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2011Q2,male,Y025_029,64220,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2011Q2,male,Y030_034,54543,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2011Q2,male,Y035_039,43362,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2011Q2,male,Y040_044,28893,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2011Q2,male,Y045_049,19845,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2011Q2,male,Y050_054,13616,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2011Q2,male,Y055_059,8680,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2011Q2,male,Y060_064,5280,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2011Q2,male,Y065_069,3135,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2011Q2,male,Y070_074,2083,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2011Q2,male,Y075_079,1357,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2011Q2,male,Y080_999,1406,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y000_004,69207,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y005_009,53902,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y010_014,44978,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y015_019,50695,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y020_024,71872,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y025_029,69497,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y030_034,45191,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y035_039,31153,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y040_044,19758,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y045_049,12762,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y050_054,8453,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y055_059,6583,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y060_064,4412,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y065_069,3072,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y070_074,2196,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y075_079,1370,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,female,Y080_999,1996,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y000_004,70375,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y005_009,53662,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y010_014,43826,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y015_019,44295,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y020_024,65289,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y025_029,66558,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y030_034,56195,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y035_039,45229,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y040_044,30879,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y045_049,20636,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y050_054,14176,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y055_059,9069,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y060_064,5572,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y065_069,3238,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y070_074,2143,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y075_079,1362,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2012Q2,male,Y080_999,1372,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y000_004,71276,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y005_009,55770,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y010_014,46684,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y015_019,51922,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y020_024,72042,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y025_029,72464,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y030_034,48561,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y035_039,32709,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y040_044,21220,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y045_049,13367,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y050_054,8696,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y055_059,6856,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y060_064,4645,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y065_069,3194,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y070_074,2279,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2013Q2,female,Y075_079,1407,Mombasa,,Mombasa
