year,indicator_id,indicator_name,value,unit,source,source_variable,lower,upper,notes,indicator
2015,estimated_incidence_rate,Estimated TB incidence rate,380.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,182.0,651.0,,estimated_incidence_rate
2016,estimated_incidence_rate,Estimated TB incidence rate,348.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,179.0,573.0,,estimated_incidence_rate
2017,estimated_incidence_rate,Estimated TB incidence rate,319.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,175.0,505.0,,estimated_incidence_rate
2018,estimated_incidence_rate,Estimated TB incidence rate,292.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,170.0,446.0,,estimated_incidence_rate
2019,estimated_incidence_rate,Estimated TB incidence rate,267.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,163.0,396.0,,estimated_incidence_rate
2020,estimated_incidence_rate,Estimated TB incidence rate,248.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,150.0,377.0,,estimated_incidence_rate
2021,estimated_incidence_rate,Estimated TB incidence rate,247.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,145.0,377.0,,estimated_incidence_rate
2022,estimated_incidence_rate,Estimated TB incidence rate,238.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,136.0,375.0,,estimated_incidence_rate
2023,estimated_incidence_rate,Estimated TB incidence rate,214.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,118.0,344.0,,estimated_incidence_rate
2024,estimated_incidence_rate,Estimated TB incidence rate,207.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_inc_100k,109.0,339.0,,estimated_incidence_rate
2000,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,41.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,15.0,80.0,,estimated_tb_death_rate_excl_hiv
2001,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,52.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,21.0,98.0,,estimated_tb_death_rate_excl_hiv
2002,estimated_tb_death_rate_excl_hiv,Estimated TB mortality rate excluding HIV-associated TB deaths,61.0,"per 100,000 population",WHO Global TB Database: burden estimates,e_mort_exc_tbhiv_100k,25.0,112.0,,estimated_tb_death_rate_excl_hiv
