year,indicator_id,indicator_name,value,unit,source,source_variable,lower,upper,notes
1985,notification_rate,TB notification rate,,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
1986,notification_rate,TB notification rate,,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
1987,notification_rate,TB notification rate,,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
1988,notification_rate,TB notification rate,,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
1989,notification_rate,TB notification rate,,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
1990,notification_rate,TB notification rate,,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
1991,notification_rate,TB notification rate,,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
1992,notification_rate,TB notification rate,,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
1993,notification_rate,TB notification rate,,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
1994,notification_rate,TB notification rate,,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
1995,notification_rate,TB notification rate,,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
1996,notification_rate,TB notification rate,,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
1997,notification_rate,TB notification rate,,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
1998,notification_rate,TB notification rate,,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
1999,notification_rate,TB notification rate,,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
2000,notification_rate,TB notification rate,209.37648596883184,"per 100,000 population",Derived from WHO notifications and WHO population,notification_rate,,,Formula: c_newinc / e_pop_num * 100000
