"Population by Sex, Households, Land Area, Density by Sub-county",,,,,,,,,,
,,,,,,,,,,
Sub County,,Sex*,,,Households,,Land Area ,Density ,,*please refer to the Metadata sheet
,Total,Male,Female,Total,Conventional,Group quarters,Sq. Km,Persons Per Sq. Km,,
        BUSIA,142408,69034,73373,33160,33152,8,195.99574,726.5872207222462,,
        BUTULA,140334,65136,75195,32213,32199,14,247.0887,567.9498900597235,,
        NAMBALE,111636,52900,58732,23892,23889,3,238.12433,468.813917502676,,
        SAMIA,107176,50821,56341,23884,23813,71,262.41792,408.41723004282636,,
        TESO NORTH,138034,66412,71619,29395,29314,81,261.03544,528.7940978435726,,
        TESO SOUTH,168116,80484,87630,36569,36549,20,302.92094,554.9830922880407,,
    SIAYA,993183,471669,521496,250698,249341,1357,2529.73596,392.6034241138747,,
        SIAYA,224343,105906,118433,57553,57386,167,598.88671,374.6000641757437,,
        GEM,179792,85696,94092,44884,44696,188,405.17708,443.73684710892337,,
        UGENYA,134354,62624,71726,33565,33554,11,323.5232,415.2839734522903,,
        UGUNJA,104241,48912,55329,26328,26321,7,200.97244,518.6830592294148,,
        BONDO,197883,95962,101917,51362,50454,908,598.80805,330.46148928692594,,
        RARIEDA,152570,72569,79999,37006,36930,76,402.36849,379.1797911411999,,
    KISUMU,1155574,560942,594609,300745,296846,3899,2085.43324,554.1169948935886,,
        KISUMU EAST,220997,108304,112689,61871,61499,372,141.62184,1560.4725937750845,,
        KISUMU CENTRAL,174145,84155,89985,52331,52163,168,36.76559,4736.63009351951,,
        KISUMU WEST,172821,85697,87121,45933,42785,3148,208.98958,826.93596494141,,
        SEME,121667,57658,64007,29404,29404,-,267.71336,454.4674199300326,,
        MUHORONI,154116,76770,77345,37193,36982,211,657.50547,234.39500815103486,,
        NYANDO,161508,77121,84380,38460,38460,-,446.10817,362.0377542065639,,
        NYAKACH,150320,71237,79082,35553,35553,-,326.72923,460.0751515253166,,
    HOMA BAY,1131950,539560,592367,262036,260290,1746,3152.52616,359.06125518082933,,
        HOMA BAY,117439,55756,61681,29318,28471,847,182.04495,645.1099028014784,,
        NDHIWA,218136,103706,114422,48062,47956,106,713.48788,305.7318927407709,,
        RACHUONYO NORTH,178686,85409,93273,41809,41661,148,435.44374,410.35381516794797,,
        RACHUONYO EAST,121822,57709,64111,27319,27229,90,250.91632,485.5084754949379,,
        RACHUONYO SOUTH,130814,61663,69151,30990,30693,297,256.07848,510.83558446613705,,
        RANGWE,117732,55404,62325,27003,26983,20,274.13526,429.4668259748855,,
        SUBA NORTH,124938,60530,64406,29766,29662,104,406.32982,307.4792787789978,,
        SUBA SOUTH,122383,59383,62998,27769,27635,134,634.08971,193.0058130102758,,
    MIGORI,1116436,536187,580214,240168,238133,2035,2613.4842,427.182991961459,,
        AWENDO,117290,56348,60939,27033,27014,19,255.2604,459.49156234182817,,
        KURIA EAST,96872,46969,49894,17363,17267,96,187.6199,516.3204969195698,,
        KURIA WEST,208513,101090,107417,39781,39723,58,395.684,526.9684900071774,,
        NYATIKE,176162,83989,92164,40257,39358,899,676.85621,260.2650273386721,,
        RONGO,124587,59257,65329,29087,29007,80,213.35081,583.9537239160236,,
        SUNA EAST,122674,58977,63694,27302,27214,88,205.09216,598.1408553110953,,
        SUNA WEST,128890,61430,67459,29251,28839,412,287.54545,448.2421822358865,,
        URIRI,141448,68127,73318,30094,29711,383,392.07526,360.7674710207423,,
    KISII,1266860,605784,661038,308054,307254,800,1323.27643,957.36610377017,,
        ETAGO,83787,40137,43647,18610,18610,-,108.44834,772.598271213741,,
