year,indicator_id,indicator_name,value,unit,source,source_variable,lower,upper,notes,indicator
2008,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,47000.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2009,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,47000.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2010,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,43000.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2011,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,40000.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2012,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,37000.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2013,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,35000.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2014,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,32000.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2015,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,28000.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2016,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,24000.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2017,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,18000.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2018,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,13000.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2019,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,13000.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2020,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,12000.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2021,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,12000.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2022,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,9100.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2023,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,7700.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2024,estimated_tbhiv_deaths_num,Estimated HIV-associated TB deaths,8000.0,deaths,WHO Global TB Database: burden estimates,e_mort_tbhiv_num,,,,estimated_tbhiv_deaths_num
2000,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,95000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2001,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,98000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2002,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,100000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2003,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,111000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2004,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,114000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2005,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,116000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2006,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,124000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2007,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,112000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2008,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,100000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2009,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,101000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
2010,estimated_tbhiv_incidence_num,Estimated HIV-associated TB incidence,91000.0,people,WHO Global TB Database: burden estimates,e_inc_tbhiv_num,,,,estimated_tbhiv_incidence_num
