2026-09-20 01:56:38,493 | INFO | kenya_tb_pipeline | Kenya TB Case Study pipeline
2026-09-20 01:56:38,493 | INFO | kenya_tb_pipeline | Kenya TB Case Study pipeline
2026-09-20 01:56:38,494 | INFO | kenya_tb_pipeline | Project root: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis
2026-09-20 01:56:38,494 | INFO | kenya_tb_pipeline | Project root: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis
2026-09-20 01:56:38,498 | INFO | kenya_tb_pipeline | Log file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\logs\pipeline_20260920_015638.log
2026-09-20 01:56:38,498 | INFO | kenya_tb_pipeline | Log file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\logs\pipeline_20260920_015638.log
2026-09-20 01:56:38,499 | INFO | kenya_tb_pipeline | ========================================================================
2026-09-20 01:56:38,499 | INFO | kenya_tb_pipeline | ========================================================================
2026-09-20 01:56:38,499 | INFO | kenya_tb_pipeline | STARTING: Extract WHO TB data
2026-09-20 01:56:38,499 | INFO | kenya_tb_pipeline | STARTING: Extract WHO TB data
2026-09-20 01:56:38,502 | INFO | extract | Using cached file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_estimates.csv
2026-09-20 01:56:38,597 | INFO | src.extract.who_tb | Wrote 25 rows to C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_estimates_kenya.csv
2026-09-20 01:56:38,598 | INFO | extract | Using cached file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_notifications.csv
2026-09-20 01:56:38,844 | INFO | src.extract.who_tb | Wrote 45 rows to C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_notifications_kenya.csv
2026-09-20 01:56:38,845 | INFO | extract | Using cached file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_outcomes.csv
2026-09-20 01:56:38,905 | INFO | src.extract.who_tb | Wrote 30 rows to C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_outcomes_kenya.csv
2026-09-20 01:56:38,906 | INFO | kenya_tb_pipeline | COMPLETED: Extract WHO TB data in 0.41 seconds
2026-09-20 01:56:38,906 | INFO | kenya_tb_pipeline | COMPLETED: Extract WHO TB data in 0.41 seconds
2026-09-20 01:56:38,907 | INFO | kenya_tb_pipeline | ========================================================================
2026-09-20 01:56:38,907 | INFO | kenya_tb_pipeline | ========================================================================
2026-09-20 01:56:38,907 | INFO | kenya_tb_pipeline | STARTING: Extract KNBS population data
2026-09-20 01:56:38,907 | INFO | kenya_tb_pipeline | STARTING: Extract KNBS population data
2026-09-20 01:56:38,908 | INFO | extract | Downloading https://www.knbs.or.ke/wp-content/uploads/2023/09/2019-Kenya-population-and-Housing-Census-Population-households-density-by-county.xlsx
2026-09-20 01:56:39,136 | WARNING | urllib3.connectionpool | Retrying (Retry(total=4, connect=5, read=5, redirect=None, status=5)) after connection broken by 'SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)'))': /wp-content/uploads/2023/09/2019-Kenya-population-and-Housing-Census-Population-households-density-by-county.xlsx
2026-09-20 01:56:40,820 | WARNING | urllib3.connectionpool | Retrying (Retry(total=3, connect=5, read=5, redirect=None, status=5)) after connection broken by 'SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)'))': /wp-content/uploads/2023/09/2019-Kenya-population-and-Housing-Census-Population-households-density-by-county.xlsx
2026-09-20 01:56:44,220 | WARNING | urllib3.connectionpool | Retrying (Retry(total=2, connect=5, read=5, redirect=None, status=5)) after connection broken by 'SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)'))': /wp-content/uploads/2023/09/2019-Kenya-population-and-Housing-Census-Population-households-density-by-county.xlsx
