2026-09-19 11:55:03,351 | INFO | kenya_tb_pipeline | Kenya TB Case Study pipeline
2026-09-19 11:55:03,351 | INFO | kenya_tb_pipeline | Kenya TB Case Study pipeline
2026-09-19 11:55:03,353 | INFO | kenya_tb_pipeline | Project root: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis
2026-09-19 11:55:03,353 | INFO | kenya_tb_pipeline | Project root: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis
2026-09-19 11:55:03,356 | INFO | kenya_tb_pipeline | Log file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\logs\pipeline_20260919_115503.log
2026-09-19 11:55:03,356 | INFO | kenya_tb_pipeline | Log file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\logs\pipeline_20260919_115503.log
2026-09-19 11:55:03,359 | INFO | kenya_tb_pipeline | ========================================================================
2026-09-19 11:55:03,359 | INFO | kenya_tb_pipeline | ========================================================================
2026-09-19 11:55:03,361 | INFO | kenya_tb_pipeline | STARTING: Extract WHO TB data
2026-09-19 11:55:03,361 | INFO | kenya_tb_pipeline | STARTING: Extract WHO TB data
2026-09-19 11:55:03,365 | INFO | extract | Using cached file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_estimates.csv
2026-09-19 11:55:03,486 | INFO | src.extract.who_tb | Wrote 25 rows to C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_estimates_kenya.csv
2026-09-19 11:55:03,487 | INFO | extract | Using cached file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_notifications.csv
2026-09-19 11:55:03,994 | INFO | src.extract.who_tb | Wrote 45 rows to C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_notifications_kenya.csv
2026-09-19 11:55:03,996 | INFO | extract | Using cached file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_outcomes.csv
2026-09-19 11:55:04,115 | INFO | src.extract.who_tb | Wrote 30 rows to C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_outcomes_kenya.csv
2026-09-19 11:55:04,116 | INFO | kenya_tb_pipeline | COMPLETED: Extract WHO TB data in 0.75 seconds
2026-09-19 11:55:04,116 | INFO | kenya_tb_pipeline | COMPLETED: Extract WHO TB data in 0.75 seconds
2026-09-19 11:55:04,117 | INFO | kenya_tb_pipeline | ========================================================================
2026-09-19 11:55:04,117 | INFO | kenya_tb_pipeline | ========================================================================
2026-09-19 11:55:04,117 | INFO | kenya_tb_pipeline | STARTING: Extract KNBS population data
2026-09-19 11:55:04,117 | INFO | kenya_tb_pipeline | STARTING: Extract KNBS population data
