2026-09-20 01:08:22,110 | ERROR | kenya_tb_pipeline | SSLError: HTTPSConnectionPool(host='www.knbs.or.ke', port=443): Max retries exceeded with url: /wp-content/uploads/2023/09/2019-Kenya-population-and-Housing-Census-Population-households-density-by-county.xlsx (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)')))
2026-09-20 01:08:22,138 | INFO | kenya_tb_pipeline | ========================================================================
2026-09-20 01:08:22,138 | INFO | kenya_tb_pipeline | ========================================================================
2026-09-20 01:08:22,139 | INFO | kenya_tb_pipeline | STARTING: Extract KMHFR facilities
2026-09-20 01:08:22,139 | INFO | kenya_tb_pipeline | STARTING: Extract KMHFR facilities
2026-09-20 01:08:22,140 | INFO | src.extract.kmhfr | KMHFR page 1
2026-09-20 01:08:32,169 | WARNING | urllib3.connectionpool | Retrying (Retry(total=4, connect=4, read=5, redirect=None, status=5)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='api.kmhfr.health.go.ke', port=443) at 0x268a7d63890>, 'Connection to api.kmhfr.health.go.ke timed out. (connect timeout=10)')': /api/public/facilities/?page=1&page_size=100
2026-09-20 01:08:43,814 | WARNING | urllib3.connectionpool | Retrying (Retry(total=3, connect=3, read=5, redirect=None, status=5)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='api.kmhfr.health.go.ke', port=443) at 0x268a7d62350>, 'Connection to api.kmhfr.health.go.ke timed out. (connect timeout=10)')': /api/public/facilities/?page=1&page_size=100
2026-09-20 01:08:57,027 | WARNING | urllib3.connectionpool | Retrying (Retry(total=2, connect=2, read=5, redirect=None, status=5)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='api.kmhfr.health.go.ke', port=443) at 0x268a7d63d90>, 'Connection to api.kmhfr.health.go.ke timed out. (connect timeout=10)')': /api/public/facilities/?page=1&page_size=100
2026-09-20 01:09:13,465 | WARNING | urllib3.connectionpool | Retrying (Retry(total=1, connect=1, read=5, redirect=None, status=5)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='api.kmhfr.health.go.ke', port=443) at 0x268a7ea4050>, 'Connection to api.kmhfr.health.go.ke timed out. (connect timeout=10)')': /api/public/facilities/?page=1&page_size=100
2026-09-20 01:09:36,278 | WARNING | urllib3.connectionpool | Retrying (Retry(total=0, connect=0, read=5, redirect=None, status=5)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='api.kmhfr.health.go.ke', port=443) at 0x268a7ea42d0>, 'Connection to api.kmhfr.health.go.ke timed out. (connect timeout=10)')': /api/public/facilities/?page=1&page_size=100
2026-09-20 01:09:46,319 | ERROR | kenya_tb_pipeline | FAILED: Extract KMHFR facilities after 84.18 seconds
2026-09-20 01:09:46,319 | ERROR | kenya_tb_pipeline | FAILED: Extract KMHFR facilities after 84.18 seconds
2026-09-20 01:09:46,328 | ERROR | kenya_tb_pipeline | ConnectTimeout: HTTPSConnectionPool(host='api.kmhfr.health.go.ke', port=443): Max retries exceeded with url: /api/public/facilities/?page=1&page_size=100 (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.kmhfr.health.go.ke', port=443) at 0x268a7ea4550>, 'Connection to api.kmhfr.health.go.ke timed out. (connect timeout=10)'))
