2026-09-19 00:45:35,219 | INFO | kenya_tb_pipeline | Kenya TB Case Study pipeline
2026-09-19 00:45:35,219 | INFO | kenya_tb_pipeline | Kenya TB Case Study pipeline
2026-09-19 00:45:35,220 | INFO | kenya_tb_pipeline | Project root: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_extractors\kenya_tb_extractors
2026-09-19 00:45:35,220 | INFO | kenya_tb_pipeline | Project root: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_extractors\kenya_tb_extractors
2026-09-19 00:45:35,220 | INFO | kenya_tb_pipeline | Log file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_extractors\kenya_tb_extractors\logs\pipeline_20260919_004535.log
2026-09-19 00:45:35,220 | INFO | kenya_tb_pipeline | Log file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_extractors\kenya_tb_extractors\logs\pipeline_20260919_004535.log
2026-09-19 00:45:35,222 | INFO | kenya_tb_pipeline | ========================================================================
2026-09-19 00:45:35,222 | INFO | kenya_tb_pipeline | ========================================================================
2026-09-19 00:45:35,223 | INFO | kenya_tb_pipeline | STARTING: Extract WHO TB data
2026-09-19 00:45:35,223 | INFO | kenya_tb_pipeline | STARTING: Extract WHO TB data
2026-09-19 00:45:35,224 | INFO | extract | Using cached file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_extractors\kenya_tb_extractors\data\raw\who_tb\who_tb_estimates.csv
2026-09-19 00:45:35,306 | INFO | src.extract.who_tb | Wrote 25 rows to C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_extractors\kenya_tb_extractors\data\raw\who_tb\who_tb_estimates_kenya.csv
2026-09-19 00:45:35,307 | INFO | extract | Using cached file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_extractors\kenya_tb_extractors\data\raw\who_tb\who_tb_notifications.csv
2026-09-19 00:45:35,561 | INFO | src.extract.who_tb | Wrote 45 rows to C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_extractors\kenya_tb_extractors\data\raw\who_tb\who_tb_notifications_kenya.csv
