2026-09-20 01:05:52,020 | INFO | kenya_tb_pipeline | Kenya TB Case Study pipeline
2026-09-20 01:05:52,020 | INFO | kenya_tb_pipeline | Kenya TB Case Study pipeline
2026-09-20 01:05:52,021 | INFO | kenya_tb_pipeline | Project root: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis
2026-09-20 01:05:52,021 | INFO | kenya_tb_pipeline | Project root: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis
2026-09-20 01:05:52,022 | INFO | kenya_tb_pipeline | Log file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\logs\pipeline_20260920_010552.log
2026-09-20 01:05:52,022 | INFO | kenya_tb_pipeline | Log file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\logs\pipeline_20260920_010552.log
2026-09-20 01:05:52,023 | INFO | kenya_tb_pipeline | ========================================================================
2026-09-20 01:05:52,023 | INFO | kenya_tb_pipeline | ========================================================================
2026-09-20 01:05:52,024 | INFO | kenya_tb_pipeline | STARTING: Extract WHO TB data
2026-09-20 01:05:52,024 | INFO | kenya_tb_pipeline | STARTING: Extract WHO TB data
2026-09-20 01:05:52,026 | INFO | extract | Using cached file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_estimates.csv
2026-09-20 01:05:52,114 | INFO | src.extract.who_tb | Wrote 25 rows to C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_estimates_kenya.csv
2026-09-20 01:05:52,115 | INFO | extract | Using cached file: C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_notifications.csv
2026-09-20 01:05:52,429 | INFO | src.extract.who_tb | Wrote 45 rows to C:\Users\Admin\Downloads\WAYNE\PROJECTS\kenya_tb_pipeline\kenya_tb_surveillance_analysis\data\raw\who_tb\who_tb_notifications_kenya.csv
